month	Linux t1.micro On Demand	Linux Heavy t1.micro 1 Year Reserved	Linux Heavy t1.micro 3 Year Reserved	Linux m1.small On Demand	Linux Heavy m1.small 1 Year Reserved	Linux Heavy m1.small 3 Year Reserved
0	0.000	62.000	100.000	0.000	61.000	96.000
1	14.600	65.650	103.650	43.800	85.820	115.710
2	29.200	69.300	107.300	87.600	110.640	135.420
3	43.800	72.950	110.950	131.400	135.460	155.130
4	58.400	76.600	114.600	175.200	160.280	174.840
5	73.000	80.250	118.250	219.000	185.100	194.550
6	87.600	83.900	121.900	262.800	209.920	214.260
7	102.200	87.550	125.550	306.600	234.740	233.970
8	116.800	91.200	129.200	350.400	259.560	253.680
9	131.400	94.850	132.850	394.200	284.380	273.390
10	146.000	98.500	136.500	438.000	309.200	293.100
11	160.600	102.150	140.150	481.800	334.020	312.810
12	175.200	105.800	143.800	525.600	358.840	332.520
13	189.800	171.450	147.450	569.400	444.660	352.230
14	204.400	175.100	151.100	613.200	469.480	371.940
15	219.000	178.750	154.750	657.000	494.300	391.650
16	233.600	182.400	158.400	700.800	519.120	411.360
17	248.200	186.050	162.050	744.600	543.940	431.070
18	262.800	189.700	165.700	788.400	568.760	450.780
19	277.400	193.350	169.350	832.200	593.580	470.490
20	292.000	197.000	173.000	876.000	618.400	490.200
21	306.600	200.650	176.650	919.800	643.220	509.910
22	321.200	204.300	180.300	963.600	668.040	529.620
23	335.800	207.950	183.950	1007.400	692.860	549.330
24	350.400	211.600	187.600	1051.200	717.680	569.040
25	365.000	277.250	191.250	1095.000	803.500	588.750
26	379.600	280.900	194.900	1138.800	828.320	608.460
27	394.200	284.550	198.550	1182.600	853.140	628.170
28	408.800	288.200	202.200	1226.400	877.960	647.880
29	423.400	291.850	205.850	1270.200	902.780	667.590
30	438.000	295.500	209.500	1314.000	927.600	687.300
31	452.600	299.150	213.150	1357.800	952.420	707.010
32	467.200	302.800	216.800	1401.600	977.240	726.720
33	481.800	306.450	220.450	1445.400	1002.060	746.430
34	496.400	310.100	224.100	1489.200	1026.880	766.140
35	511.000	313.750	227.750	1533.000	1051.700	785.850
36	525.600	317.400	231.400	1576.800	1076.520	805.560
